clob_token_ids                                                                                                                                                           , cosine_similarity
"[""64849657453720128173987745902322288997042900944410443696131533046226360718743"",""22690388214623857260917473600140151769725746765685755445496920019523455200506""]"  , 0.7948509758462782
"[""10276380487292015907286965183712428298762391106537130005068508250585964929002"",""15712601362926966464297681669793979571648993647361815313917055921533147104482""]"  , 0.7276698913994735
"[""7297178046654431460342354669410713591711436569227088937939714564422609630715"",""9398286396457855536689119866572126201603976067916803091361804801880238193615""]"    , 0.7066268315394582
"[""5157475291055751699958008206295994457581963186792161422504392837789017630710"",""32225747825393034132296096914450463887017435889212749920179650934047078567352""]"   , 0.8307552196614122
"[""47922258433774659937188516706752844414072753616423015585327065310309991726311"",""45299292237514833173457952495216630511510028185359768295520861596333490643243""]"  , 0.760837263455335
"[""105013170219261979546393994927339499204535836571200677194016031180654373717996"",""27105557397805086914326636978729087961679937926770629107349846137149319152716""]" , 0.8307552196614122
"[""93527187712151369188272179713678787614416252021449035968467811838746000917791"",""30457349442398200373257270187399679779380906998422987795032023563431435964722""]"  , 0.7673430057283065
"[""67046192002307405519017927362000621262018949534914241919846603943984737010005"",""89101263909287294072949043809792352926280943456018519234905704418617078179972""]"  , 0.8100497919242529
"[""32270611938989854998780137893988155411775732962814092777955806734993067895966"",""44656289640646827130020096140096799359994546120739401503992982377845751139873""]"  , 0.8065543403256554
"[""92626182919148704922136853553872715651306117847041010929144379087935193893462"",""14922005825810758598412121771863060310573992927809608313384190620241295262651""]"  , 0.8588932172906518
"[""13777952554401990592420289076851467905316336632347446790753318879614233769581"",""320566142977142750550628583130486632791144286755415347500379246577678863180""]"    , 0.8621677131100699
"[""10776578084439550181526173165818979034936800182797800156144227188229495479910"",""47244521176243504831320010374030626206943608425325384795080723420898313839532""]"  , 1.0
"[""68739301635490954357204661162889053285360701620191509408384059255744322268568"",""48930008382267207749565142085327250707630266537480934495692610670232335488898""]"  , 0.572516870115373
"[""58107769059585423194555575799411268902050217147858967944602778836315254732423"",""15610403757960672087645132402413181609068502505187076901860989170662864809048""]"  , 1.0
"[""69677952171510789450548018200554880679955967756620236507781291366446068627873"",""94825994414016731560018933280865423441840786991881262927570053682172775755999""]"  , 1.0
"[""81149948856723777101519215824830787060576196646125816787577716414910058024325"",""98210127750681561237004298681221476404174461535856640985847805256659962846252""]"  , 1.0
"[""104358443379227876934626147273023029208652029800204151319742443007204901768939"",""18917871077491275110652659328245899710247285722204900599216692911657406965033""]" , 1.0
"[""14208652150441949135635843033212354879735661343377122925450434797186651414068"",""61751887147679890505957160704149688367827012218488379699505996467267147357681""]"  , 1.0
"[""66576679085812007338572047960104809885971851907138802976204893848917132688808"",""71851737340748530106150191584701798269423178808109228424788423882609766682084""]"  , 1.0
"[""61879504514445309594220539230328911254257623059512641557766258931363280327033"",""104384395240444779435193392269867531019497504945255945953656934517781003735049""]" , 1.0
"[""391670908629060088409431896998377161667071768186645889213963384874929102170"",""19342228451232618900380790702398447753145461678153957724169441259398521329476""]"    , 1.0
"[""62009449847159122385971991480139610869824965029008686522071073076098387124747"",""54398790535896757998414933803834478150495648270732685658889540342278545164806""]"  , 1.0
"[""73927186257882802877663040737479279251981612783026680169571204930062095676076"",""61800098061400727617846631920852564041596981000809836996003699088143705766482""]"  , 1.0
"[""11876606915924142133615854761923277060697657209957870741155164849437788272266"",""114033095271617070714983865791504478906266507670567428753203001241312040895286""]" , 1.0
